subject_code_1;subject_code_2;n_cooc;difficulty_score_both
05.563;05.600;67;0.029851
05.563;05.601;63;0.079365
05.563;05.604;80;0.125
05.563;05.607;47;0.021277
05.563;05.611;767;0.0691
05.563;05.613;312;0.025641
05.563;05.614;2079;0.133237
05.563;05.615;679;0
05.563;05.616;55;0
05.563;22.400;148;0.135135
05.564;05.554;103;0
05.564;05.555;113;0.026549
05.564;05.556;110;0.018182
05.564;05.557;82;0
05.564;05.558;1706;0.069754
05.564;05.559;618;0
05.564;05.560;1585;0.199369
05.564;05.561;2841;0
05.564;05.562;78;0
05.564;05.563;47;0.106383
05.564;05.564;0;0
05.564;05.565;2384;0.035235
05.564;05.566;1949;0.063109
05.564;05.567;2748;0.018195
05.564;05.568;1287;0.041958
05.564;05.569;1574;0.06798
05.564;05.570;1389;0.072714
05.564;05.571;1075;0.056744
05.564;05.572;996;0.026104
05.564;05.573;1741;0.082137
05.564;05.574;352;0.005682
05.564;05.575;1497;0.03006
05.564;05.576;93;0.021505
05.564;05.577;123;0.02439
05.564;05.578;164;0.018293
05.564;05.579;368;0.005435
05.564;05.580;77;0.038961
05.564;05.581;55;0.054545
05.564;05.582;759;0.050066
05.564;05.583;59;0.033898
05.564;05.584;157;0.025478
05.564;05.585;2023;0.039545
05.564;05.586;214;0.042056
05.564;05.587;77;0.025974
05.564;05.588;119;0
05.564;05.589;401;0.017456
05.564;05.590;2026;0.037019
05.564;05.591;562;0.003559
05.564;05.592;47;0
05.564;05.593;219;0.022831
05.564;05.594;57;0.017544
05.564;05.595;1184;0.000845
05.564;05.596;951;0.007361
05.564;05.597;161;0.018634
05.564;05.598;165;0
05.564;05.599;104;0.019231
05.564;05.600;123;0.00813
05.564;05.601;114;0.061404
05.564;05.604;117;0.034188
05.564;05.607;79;0.037975
05.564;05.611;1190;0.034454
05.564;05.613;523;0.00956
05.564;05.614;345;0.046377
05.564;05.615;1984;0
05.564;05.616;100;0.02
05.564;22.400;24;0
05.565;05.554;1834;0.06325
05.565;05.555;2637;0.107698
05.565;05.556;2088;0.064655
05.565;05.557;1498;0.064085
05.565;05.558;1148;0.028746
05.565;05.559;3482;0.020391
05.565;05.560;2947;0.162199
05.565;05.561;1542;0.095331
05.565;05.562;2474;0.037591
05.565;05.563;3285;0.088889
05.565;05.564;1878;0.036741
05.565;05.565;0;0
05.565;05.566;1535;0.046906
05.565;05.567;2378;0.022288
05.565;05.568;1277;0.052467
05.565;05.569;1072;0.038246
05.565;05.570;3100;0.222258
05.565;05.571;1031;0.068865
05.565;05.572;938;0.021322
05.565;05.573;2030;0.117241
05.565;05.574;384;0
05.565;05.575;1164;0.032646
05.565;05.576;77;0.051948
05.565;05.577;123;0.00813
05.565;05.578;183;0.010929
05.565;05.579;329;0.012158
05.565;05.580;66;0
05.565;05.581;49;0
05.565;05.582;590;0.069492
05.565;05.583;53;0.056604
05.565;05.584;117;0.008547
05.565;05.585;1815;0.025344
05.565;05.586;167;0.023952
05.565;05.587;90;0.044444
05.565;05.588;113;0
05.565;05.589;343;0.034985
05.565;05.590;1327;0.039186
05.565;05.591;599;0.010017
05.565;05.592;49;0.081633
05.565;05.593;147;0.020408
05.565;05.594;48;0
05.565;05.595;1214;0.003295
05.565;05.596;658;0.009119
05.565;05.597;136;0
05.565;05.598;155;0
05.565;05.599;83;0.024096
05.565;05.600;96;0.020833
05.565;05.601;103;0.067961
05.565;05.604;111;0.045045
05.565;05.607;61;0
05.565;05.611;1143;0.046369
05.565;05.613;519;0.007707
05.565;05.614;1174;0.155026
05.565;05.615;1780;0
05.565;05.616;70;0.028571
05.565;22.400;108;0.185185
05.566;05.554;2857;0.018901
05.566;05.555;1550;0.076129
05.566;05.556;1253;0.067039
05.566;05.557;2507;0.177503
05.566;05.558;1110;0.075676
05.566;05.559;1049;0.023832
05.566;05.560;2213;0.153638
05.566;05.561;391;0.01023
05.566;05.562;1534;0.026076
05.566;05.563;103;0.048544
05.566;05.564;133;0.007519
05.566;05.565;192;0.015625
05.566;05.566;0;0
05.566;05.567;2453;0.044028
05.566;05.568;1372;0.049563
05.566;05.569;1621;0.062924
05.566;05.570;1191;0.084803
05.566;05.571;1102;0.052632
05.566;05.572;1277;0.032106
05.566;05.573;1481;0.09183
05.566;05.574;330;0.006061
05.566;05.575;1344;0.026786
05.566;05.576;103;0.058252
05.566;05.577;171;0.011696
05.566;05.578;227;0.026432
05.566;05.579;419;0.01432
05.566;05.580;104;0.048077
05.566;05.581;87;0.068966
05.566;05.582;1049;0.06673
05.566;05.583;91;0.10989
05.566;05.584;189;0.047619
05.566;05.585;1156;0.061419
05.566;05.586;275;0.043636
05.566;05.587;104;0.019231
05.566;05.588;132;0.007576
05.566;05.589;517;0.052224
05.566;05.590;1096;0.043796
05.566;05.591;796;0.006281
05.566;05.592;49;0.040816
05.566;05.593;280;0.017857
05.566;05.594;71;0
05.566;05.595;417;0.007194
05.566;05.596;377;0.015915
05.566;05.597;181;0.027624
05.566;05.598;184;0.016304
05.566;05.599;118;0.016949
05.566;05.600;130;0.023077
05.566;05.601;137;0.036496
05.566;05.604;159;0.031447
05.566;05.607;109;0.06422
05.566;05.611;1430;0.043357
05.566;05.613;724;0.035912
05.566;05.614;336;0.059524
05.566;05.615;1268;0
05.566;05.616;99;0.040404
05.566;22.400;27;0.074074
05.567;05.554;338;0.002959
05.567;05.555;60;0.066667
05.567;05.556;58;0.017241
05.567;05.557;550;0.043636
05.567;05.558;67;0.059701
05.567;05.559;141;0.021277
05.567;05.560;1783;0.03309
05.567;05.561;169;0.047337
05.567;05.562;85;0
05.567;05.563;123;0
05.567;05.564;367;0.019074
05.567;05.565;1800;0.048333
05.567;05.566;949;0.003161
05.567;05.567;0;0
05.567;05.568;1377;0.027596
05.567;05.569;1457;0.045985
05.567;05.570;1384;0.038295
05.567;05.571;1178;0.034805
05.567;05.572;2244;0.026292
05.567;05.573;1572;0.043257
05.567;05.574;778;0.001285
05.567;05.575;2569;0.023355
05.567;05.576;114;0.052632
05.567;05.577;151;0
05.567;05.578;216;0.041667
05.567;05.579;390;0.002564
05.567;05.580;89;0.011236
05.567;05.581;84;0.047619
05.567;05.582;930;0.050538
05.567;05.583;88;0.056818
05.567;05.584;180;0.033333
05.567;05.585;2344;0.017491
05.567;05.586;272;0.025735
05.567;05.587;97;0.010309
05.567;05.588;135;0.007407
05.567;05.589;573;0.050611
05.567;05.590;1951;0.026653
05.567;05.591;1267;0.007893
05.567;05.592;58;0.051724
05.567;05.593;227;0.017621
05.567;05.594;71;0.028169
05.567;05.595;1626;0.003075
05.567;05.596;963;0.003115
05.567;05.597;179;0.005587
05.567;05.598;198;0.010101
05.567;05.599;116;0
05.567;05.600;120;0
05.567;05.601;152;0.039474
05.567;05.604;155;0
05.567;05.607;96;0.03125
05.567;05.611;1348;0.029674
05.567;05.613;613;0.019576
05.567;05.614;423;0.01182
05.567;05.615;3085;0
05.567;05.616;102;0
05.567;22.400;33;0.030303
05.568;05.554;46;0
05.568;05.555;178;0.02809
05.568;05.556;50;0
05.568;05.557;1323;0.001512
05.568;05.558;711;0.008439
05.568;05.559;132;0
05.568;05.560;169;0
05.568;05.561;100;0
05.568;05.562;113;0
05.568;05.563;108;0.055556
05.568;05.564;126;0.02381
05.568;05.565;79;0.025316
05.568;05.566;1497;0.06346
05.568;05.567;538;0.007435
05.568;05.568;0;0
05.568;05.569;1550;0.070968
05.568;05.570;1514;0.163144
05.568;05.571;1077;0.069638
05.568;05.572;1089;0.03214
05.568;05.573;1455;0.076289
05.568;05.574;315;0.003175
05.568;05.575;970;0.024742
05.568;05.576;100;0.06
05.568;05.577;156;0.00641
05.568;05.578;213;0.014085
05.568;05.579;378;0.013228
05.568;05.580;79;0.037975
05.568;05.581;78;0.025641
05.568;05.582;808;0.056931
05.568;05.583;78;0.102564
05.568;05.584;146;0.047945
05.568;05.585;1064;0.053571
05.568;05.586;188;0.047872
05.568;05.587;83;0.012048
05.568;05.588;115;0
05.568;05.589;408;0.051471
05.568;05.590;1138;0.049209
05.568;05.591;431;0.011601
05.568;05.592;57;0.052632
05.568;05.593;191;0.020942
05.568;05.594;75;0.04
05.568;05.595;450;0.004444
05.568;05.596;384;0.015625
05.568;05.597;157;0.012739
05.568;05.598;180;0.005556
05.568;05.599;109;0.018349
05.568;05.600;116;0.017241
05.568;05.601;107;0.028037
05.568;05.604;136;0.022059
05.568;05.607;119;0.033613
05.568;05.611;2082;0.077329
05.568;05.613;604;0.011589
05.568;05.614;305;0.052459
05.568;05.615;692;0
05.568;05.616;79;0
05.568;22.400;37;0.081081
05.569;05.554;619;0.074313
05.569;05.555;2353;0
05.569;05.556;89;0.044944
05.569;05.557;26;0.038462
05.569;05.558;2496;0.089744
05.569;05.559;2014;0.056604
05.569;05.560;1294;0.074961
05.569;05.561;939;0.020234
05.569;05.562;1767;0.037351
05.569;05.563;2533;0.119621
05.569;05.564;1754;0.121437
05.569;05.565;1356;0.030236
05.569;05.566;1764;0.085034
05.569;05.567;1225;0.048163
05.569;05.568;1400;0.025
05.569;05.569;0;0
05.569;05.570;819;0.070818
05.569;05.571;1137;0.077397
05.569;05.572;1251;0.051159
05.569;05.573;1732;0.103349
05.569;05.574;309;0.009709
05.569;05.575;963;0.045691
05.569;05.576;105;0.057143
05.569;05.577;153;0.019608
05.569;05.578;207;0.009662
05.569;05.579;334;0.01497
05.569;05.580;58;0.034483
05.569;05.581;68;0.132353
05.569;05.582;720;0.080556
05.569;05.583;58;0.137931
05.569;05.584;191;0.115183
05.569;05.585;1095;0.060274
05.569;05.586;282;0.085106
05.569;05.587;100;0.08
05.569;05.588;131;0
05.569;05.589;576;0.102431
05.569;05.590;1355;0.070111
05.569;05.591;414;0.012077
05.569;05.592;53;0.056604
05.569;05.593;289;0.048443
05.569;05.594;74;0.054054
05.569;05.595;425;0.009412
05.569;05.596;371;0.040431
05.569;05.597;192;0.026042
05.569;05.598;184;0
05.569;05.599;116;0.017241
05.569;05.600;139;0.05036
05.569;05.601;113;0.079646
05.569;05.604;164;0.018293
05.569;05.607;115;0.017391
05.569;05.611;1520;0.066447
05.569;05.613;543;0.022099
05.569;05.614;206;0.029126
05.569;05.615;606;0
05.569;05.616;83;0
05.569;22.400;23;0
05.570;05.554;1701;0.062904
05.570;05.555;1039;0.038499
05.570;05.556;3203;0.14424
05.570;05.557;774;0.033592
05.570;05.558;905;0.033149
05.570;05.559;1404;0.054843
05.570;05.560;287;0.017422
05.570;05.561;1068;0.021536
05.570;05.562;71;0.014085
05.570;05.563;133;0.007519
05.570;05.564;195;0.025641
05.570;05.565;297;0.010101
05.570;05.566;67;0.044776
05.570;05.567;51;0.019608
05.570;05.568;550;0.049091
05.570;05.569;63;0.079365
05.570;05.570;0;0
05.570;05.571;925;0.162162
05.570;05.572;906;0.049669
05.570;05.573;1817;0.171161
05.570;05.574;341;0.01173
05.570;05.575;1035;0.051208
05.570;05.576;72;0.041667
05.570;05.577;112;0.035714
05.570;05.578;151;0.013245
05.570;05.579;349;0.008596
05.570;05.580;67;0.074627
05.570;05.581;43;0.046512
05.570;05.582;399;0.115288
05.570;05.583;50;0.06
05.570;05.584;122;0.081967
05.570;05.585;1012;0.075099
05.570;05.586;134;0.074627
05.570;05.587;60;0.05
05.570;05.588;114;0
05.570;05.589;332;0.090361
05.570;05.590;1290;0.086822
05.570;05.591;518;0.005792
05.570;05.592;39;0.025641
05.570;05.593;134;0.052239
