subject_code_1;subject_code_2;n_cooc;difficulty_score_any
05.565;05.616;70;0.1
05.565;22.400;108;0.324074
05.566;05.554;2857;0.061603
05.566;05.555;1550;0.210323
05.566;05.556;1253;0.212291
05.566;05.557;2507;0.394894
05.566;05.558;1110;0.233333
05.566;05.559;1049;0.110582
05.566;05.560;2213;0.328061
05.566;05.561;391;0.079284
05.566;05.562;1534;0.111473
05.566;05.563;103;0.174757
05.566;05.564;133;0.06015
05.566;05.565;192;0.067708
05.566;05.566;0;0
05.566;05.567;2453;0.103954
05.566;05.568;1372;0.137026
05.566;05.569;1621;0.159161
05.566;05.570;1191;0.242653
05.566;05.571;1102;0.181488
05.566;05.572;1277;0.1065
05.566;05.573;1481;0.209318
05.566;05.574;330;0.033333
05.566;05.575;1344;0.081101
05.566;05.576;103;0.203883
05.566;05.577;171;0.052632
05.566;05.578;227;0.057269
05.566;05.579;419;0.069212
05.566;05.580;104;0.153846
05.566;05.581;87;0.183908
05.566;05.582;1049;0.170639
05.566;05.583;91;0.274725
05.566;05.584;189;0.179894
05.566;05.585;1156;0.161765
05.566;05.586;275;0.167273
05.566;05.587;104;0.192308
05.566;05.588;132;0.022727
05.566;05.589;517;0.147002
05.566;05.590;1096;0.144161
05.566;05.591;796;0.030151
05.566;05.592;49;0.081633
05.566;05.593;280;0.117857
05.566;05.594;71;0.112676
05.566;05.595;417;0.06235
05.566;05.596;377;0.106101
05.566;05.597;181;0.138122
05.566;05.598;184;0.065217
05.566;05.599;118;0.059322
05.566;05.600;130;0.123077
05.566;05.601;137;0.160584
05.566;05.604;159;0.132075
05.566;05.607;109;0.174312
05.566;05.611;1430;0.134965
05.566;05.613;724;0.087017
05.566;05.614;336;0.193452
05.566;05.615;1268;0.029968
05.566;05.616;99;0.111111
05.566;22.400;27;0.111111
05.567;05.554;338;0.065089
05.567;05.555;60;0.083333
05.567;05.556;58;0.172414
05.567;05.557;550;0.183636
05.567;05.558;67;0.223881
05.567;05.559;141;0.120567
05.567;05.560;1783;0.088615
05.567;05.561;169;0.189349
05.567;05.562;85;0.117647
05.567;05.563;123;0.02439
05.567;05.564;367;0.158038
05.567;05.565;1800;0.18
05.567;05.566;949;0.047418
05.567;05.567;0;0
05.567;05.568;1377;0.126362
05.567;05.569;1457;0.168154
05.567;05.570;1384;0.259393
05.567;05.571;1178;0.159593
05.567;05.572;2244;0.072193
05.567;05.573;1572;0.184478
05.567;05.574;778;0.008997
